TYPE,,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
,,,,24602004,ELECTRIC LOCK EL 9112 MF FIN PAS METALIC BK,PS
,,,,,,
,,47,1,24701001,AB,BH
,,DEADBOLT ,STARCK,24701002,SN,BH
,,,,24701003,BLACK,BH
,,,,,,
,,48,1,24801001,104.160,BH
,,WHEEL,HI MOTION,24801002,102.120,BH
,,,,24801003,102.100,BH
,,,,24801004,104.140,BH
,,,,,,
,,49,1,24901001,WHITE 220.3,BH
,,NYLON,HI MOTION,,,
,,,,,,
,,50,1,,BCM 530 US32D,BH
,,PELOR,OMGE,,BCM 500 US33D,BH
